Reference,Dataset,Zone,Date,Own/rent land,Purpose,Purpose,Size,Farmer,Focus,Focus,Focus,Conservation concern,Seen hares,When,Consider hares pests,Hare numbers (=<50),Hare numbers (>5),Aware of 2 sp in NI,Seen L. europaeus,Seen L. europaeus on own land,Most recent,Is threat of L. europaeus important,Support management of L. europaeus,Habitat management for L. t. hibernicus,Lethal culling,Shooting,Netting,Trapping,Other,Support management via petition,Landowner permission to survey,Allow cull on own land,Member of conservation org,Hunt,Game birds,Rabbits,Wildfowl,Fishing/Angling,Other,Other,Support cull with direct involvement,Allow cull on land,Support Gov't cull decision
HP00514,P,CORE,13/08/2014,Y,A,,180a,Y,D,,,C,Y,0,N,I,N,N,N,N,,Y,Y,Y,Y,Y,,,,Y,Y,Y,N,Y,Y,Y,Y,,,,Y,,Y
HP00714,P,CORE,13/08/2014,Y,A,,50ha,Y,B,,,N,Y,0,Y,I,I,Y,N,Y,0,Y,Y,Y,Y,,,,,Y,Y,Y,Y,Y,,,,,,,Y,Y,Y
HP00914,P,CORE,30/08/2014,Y,,,3a,N,,,,C,Y,1,Y,D,D,N,N,N,,Y,Y,N,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP01014,P,CORE,12/08/2014,Y,A,,8ha,Y,B,S,A,H,Y,0,N,D,D,N,N,N,,N,Y,Y,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP01114,P,CORE,,Y,A,,14ha,Y,S,,,C,Y,6,N,D,N,N,N,N,,Y,Y,Y,N,,,,,Y,Y,Y,N,N,,,,,,,Y,Y,Y
HP01214,P,CORE,13/08/2014,Y,,,,N,,,,C,Y,0,N,N,N,N,Y,Y,,Y,Y,Y,N,,,,,N,,Y,N,N,,,,,,,N,Y,Y
HP02314,P,CORE,14/08/2014,N,,,,N,,,,C,Y,2,N,D,D,N,N,,,Y,Y,Y,Y,,,,,Y,,,N,N,,,,,,,Y,,Y
HP02414,P,CORE,,Y,O,,2a,N,,,,,Y,0,N,N,N,N,Y,N,,Y,Y,,Y,Y,,,,Y,N,N,N,Y,Y,Y,Y,Y,,,Y,N,Y
HP03214,P,CORE,,Y,A,,27a,Y,B,S,M,C,Y,1,Y,N,N,N,N,N,,N,N,Y,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP03614,P,CORE,13/08/2014,Y,A,,15a,Y,M,,,C,Y,1,N,D,D,Y,Y,Y,1,N,N,Y,N,,,,,N,Y,N,N,Y,,,,,V,,N,N,N
HP03714,P,CORE,13/08/2014,Y,A,,45a,N,,,,C,Y,0,N,D,D,N,N,N,,Y,Y,Y,Y,Y,,,,Y,Y,Y,N,N,,,,,,,N,N,Y
HP04514,P,CORE,29/08/2014,Y,,,,N,,,,C,N,,N,N,N,Y,N,N,,Y,Y,Y,N,,Y,Y,,N,,,N,N,,,,,,,N,N,N
HP05114,P,CORE,13/08/2014,Y,A,,100a,Y,D,,,H,Y,0,Y,D,D,N,N,N,,N,N,Y,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP05414,P,CORE,18/08/2014,Y,,,,N,,,,C,Y,1,N,D,D,N,N,N,,Y,Y,Y,Y,,,Y,,N,,,N,N,,,,,,,,,Y
HP05514,P,CORE,16/08/2014,N,,,,N,,,,N,Y,6,N,D,D,Y,N,,,Y,Y,,Y,Y,Y,Y,,Y,,,N,Y,Y,,Y,,,,Y,,Y
HP05714,P,CORE,,Y,A,,64a,N,,,,H,Y,0,Y,D,D,Y,N,N,,Y,Y,Y,Y,Y,,,,Y,Y,Y,N,N,,,,,,,Y,Y,Y
HP06014,P,CORE,14/08/2014,Y,,,44ha,Y,A,,,C,Y,6,Y,D,D,N,N,N,,Y,Y,N,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP06514,P,CORE,25/08/2014,Y,A,,2a,N,,,,C,Y,,N,D,D,N,Y,Y,0,N,Y,Y,N,,,,,N,N,N,N,N,,,,,,,N,N,N
HP06814,P,CORE,,N,,,,N,,,,C,Y,,Y,D,D,N,N,,,Y,Y,Y,N,,,Y,,Y,,,N,N,,,,,,,Y,,Y
HP07114,P,CORE,18/08/2014,Y,A,,300a,Y,D,,,C,Y,0,N,D,D,N,N,N,,N,Y,Y,Y,,,,,N,Y,Y,N,Y,,Y,,,,,Y,Y,Y
HP07314,P,CORE,,Y,,,,N,,,,C,Y,,Y,N,N,N,N,N,,N,N,N,Y,,,Y,,N,Y,Y,N,N,,,,,,,Y,Y,Y
HP07914,P,CORE,14/08/2014,Y,A,,20a,Y,H,,,H,Y,0,N,I,N,N,N,N,,Y,Y,Y,N,,,,,N,N,N,N,,,,,,,,N,N,N
HP08214,P,CORE,13/08/2014,N,,,,N,,,,C,Y,2,N,D,D,Y,Y,,,Y,Y,Y,N,,,,,N,,,N,N,,,,,,,N,,N
HP08414,P,CORE,12/08/2014,Y,A,,400a,Y,D,,,C,Y,0,N,D,N,N,N,N,,Y,Y,,Y,Y,,,,Y,Y,Y,N,Y,,Y,,,,,N,Y,Y
HP08814,P,CORE,,Y,A,,40ha,Y,D,,,C,Y,,N,N,I,Y,N,N,,Y,Y,Y,N,,,,,N,Y,Y,N,Y,,,,,,,N,N,N
HP08914,P,CORE,29/09/2014,Y,A,,50ha,Y,B,,,C,Y,0,Y,D,N,N,Y,Y,0,N,N,N,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP09414,P,CORE,18/08/2014,Y,A,,60a,Y,B,,,C,Y,0,N,N,N,Y,N,N,,Y,Y,Y,N,,Y,,,Y,Y,Y,N,Y,Y,Y,Y,,,,N,N,Y
HP12514,P,CORE,13/08/2014,Y,A,,,Y,S,,,C,Y,6,N,N,N,N,N,N,,,,,,,,,,N,N,,,,,,,,,,,,
HP12614,P,CORE,01/09/2014,Y,A,,6a,N,,,,N,Y,2,N,D,D,N,N,N,,Y,N,N,N,,,,,N,N,N,N,Y,,,Y,,,,N,Y,Y
HP12714,P,CORE,18/08/2014,Y,A,,60a,Y,B,S,,C,Y,0,N,I,I,N,Y,Y,0,Y,Y,Y,Y,,Y,,,Y,Y,Y,N,Y,,,,,Y,,Y,Y,Y
HP13114,P,CORE,20/08/2014,Y,A,,70a,Y,D,,,H,Y,0,N,N,N,N,N,N,,Y,Y,N,N,,,,,N,N,,N,N,,,,,,,N,N,N
HP13714,P,CORE,12/08/2014,Y,,,,N,,,,C,Y,0,Y,I,I,N,N,N,,Y,Y,Y,N,,Y,,,N,N,,N,N,,,,,,,N,N,N
HP14314,P,CORE,19/08/2014,Y,A,,30a,Y,B,S,,C,Y,2,N,D,N,N,N,N,,N,Y,Y,N,,,,,N,Y,Y,N,N,,,,,,,N,N,Y
HP14814,P,CORE,20/08/2014,N,,,,N,,,,N,Y,6,N,D,N,N,N,N,,N,Y,Y,Y,,Y,,,N,Y,Y,N,N,,,,,,,Y,Y,Y
HP15714,P,CORE,30/08/2014,Y,A,F,37a,N,,,,C,Y,2,Y,D,D,Y,Y,Y,2,N,N,Y,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP16014,P,CORE,,N,,,,N,,,,H,Y,6,N,D,D,N,N,,,Y,Y,N,N,,,,,N,,,N,,,,,,,,N,,N
HP16114,P,CORE,13/08/2014,Y,,,0.5a,N,,,,C,Y,2,N,D,,N,N,N,,,Y,Y,N,,,,,N,Y,N,N,N,,,,,,,N,N,
HP16214,P,CORE,07/10/2014,Y,A,,,Y,S,A,,H,N,,N,D,D,N,N,N,,,N,Y,,,,,,N,N,N,N,N,,,,,,,N,N,N
HP17814,P,CORE,13/08/2014,Y,,,0.5a,N,,,,C,Y,0,N,N,N,N,N,N,,Y,Y,,N,Y,,,,Y,Y,Y,N,N,,,,,,,Y,Y,Y
HP18814,P,CORE,14/08/2014,N,,,,N,,,,C,Y,1,N,D,D,N,N,N,,Y,Y,,Y,Y,Y,,,Y,,,N,N,,,,,,,N,,Y
HP18914,P,CORE,19/08/2014,Y,A,,,Y,B,D,,C,Y,0,N,N,N,Y,N,N,,N,Y,N,N,,,,,N,Y,N,N,N,,,,,,,N,N,Y
HP19614,P,CORE,30/08/2014,Y,A,,48a,Y,M,,,,Y,6,N,D,D,N,N,N,,Y,Y,Y,N,,Y,,,N,Y,N,N,N,,,,,,,N,N,N
HP19814,P,CORE,12/08/2014,Y,A,,50a,Y,B,S,,C,Y,1,N,D,D,N,N,N,,N,N,N,N,,,,,N,N,N,N,N,,,,,,,N,N,N
HP19914,P,CORE,,Y,A,,,Y,B,S,,H,Y,0,N,N,N,Y,Y,Y,0,Y,Y,Y,N,,,,,N,N,N,Y,N,,,,,,,N,N,N
HP20414,P,CORE,,Y,A,,4a,Y,B,S,,N,Y,1,N,D,D,N,N,N,,Y,Y,Y,N,,Y,,,N,N,,N,N,,,,,,,N,N,N
HP20514,P,CORE,,Y,A,,23a,Y,B,,,C,Y,0,N,N,I,N,N,N,,N,Y,Y,N,,Y,,,N,Y,N,N,N,,,,,,,N,Y,Y
HP20714,P,CORE,19/08/2014,Y,A,,80a,Y,B,S,,N,N,,N,N,N,N,N,N,,N,N,,N,,,,,N,N,,N,N,,,,,,,N,N,N
HP21014,P,CORE,,Y,A,,50a,Y,D,,,C,Y,2,Y,D,D,N,N,N,,Y,Y,Y,N,,Y,,,Y,N,N,N,N,,,,,,,N,Y,Y
HP21114,P,CORE,12/08/2014,Y,,,100a,N,,,,C,N,,N,D,D,N,N,N,,Y,Y,,N,,,,,N,N,N,N,Y,,,,,V,,N,N,
HP21514,P,CORE,24/08/2014,Y,A,F,20a,N,,,,H,Y,0,N,D,N,N,Y,Y,6,Y,Y,Y,Y,Y,,,,N,Y,Y,N,N,,,,,,,N,Y,Y
HP21914,P,CORE,,Y,A,,60a,Y,D,M,P,N,Y,,N,D,D,N,N,N,,N,N,Y,N,,Y,,,N,N,,N,N,,,,,,,N,N,N
HP22514,P,CORE,13/08/2014,Y,,,2a,N,,,,C,Y,0,N,D,D,N,Y,Y,0,Y,Y,Y,N,,Y,,,N,Y,N,N,N,,,,,,,N,N,N
HP22814,P,CORE,12/08/2014,Y,A,,100a,Y,M,,,C,Y,0,N,N,I,Y,Y,Y,0,Y,Y,Y,Y,Y,,,,Y,Y,Y,N,N,,,,,,,N,Y,Y
HP22914,P,CORE,13/08/2014,Y,H,,10a,N,,,,H,Y,1,N,D,D,Y,Y,N,,Y,Y,,Y,Y,,,,Y,Y,Y,N,N,,,,,,,Y,Y,Y
HP23214,P,CORE,15/08/2014,Y,A,,28.4ha,Y,B,M,,N,Y,0,N,D,D,Y,N,N,,N,Y,N,N,,,,,N,Y,Y,N,Y,,,Y,,V,,Y,Y,Y
HP23514,P,CORE,14/08/2014,Y,,,140a,Y,D,,,C,N,,N,D,D,Y,N,N,,N,Y,Y,Y,Y,,,,Y,Y,Y,N,Y,,Y,,,,,Y,Y,Y
HP24214,P,CORE,20/08/2014,N,,,,N,,,,C,Y,0,N,D,I,N,N,,,Y,Y,Y,N,,,,,N,,,N,N,,,,,,,N,,Y
HP25714,P,CORE,,Y,A,,100a,Y,D,S,,C,Y,0,N,N,N,N,Y,Y,0,Y,Y,Y,Y,Y,,,,N,N,,N,Y,,,,,Y,,N,N,N
HP26114,P,CORE,14/08/2014,Y,A,,6.21ha,N,,,,C,Y,0,N,N,N,Y,N,N,,N,N,Y,N,,Y,,,N,Y,N,N,Y,,,Y,,,,N,N,N
HP26414,P,CORE,19/08/2014,Y,A,,70a,Y,A,,,C,Y,0,Y,D,D,N,N,N,,N,Y,Y,N,,Y,,,N,Y,N,Y,N,,,,,,,N,N,N
HP26714,P,CORE,13/08/2014,Y,A,,,N,,,,C,Y,0,N,D,D,N,N,N,,Y,Y,,Y,Y,,,,Y,Y,Y,N,N,,,,,,,N,Y,Y
HP27514,P,CORE,13/08/2014,Y,A,,,N,,,,N,Y,0,N,D,D,N,N,N,,N,N,Y,N,,,,,,N,,N,N,,,,,,,N,Y,N
HP27814,P,CORE,16/08/2014,Y,A,,32ha,Y,B,,,H,Y,0,N,D,I,Y,N,Y,,N,N,Y,N,,Y,,,N,Y,N,Y,N,,,,,,,N,Y,N
HP28114,P,PERIPHERY,19/08/2014,Y,A,,370a,Y,D,,,C,Y,0,N,D,N,Y,N,N,,,Y,Y,Y,,Y,,,Y,Y,Y,N,N,,,,,,,Y,,Y
HP28414,P,PERIPHERY,,Y,A,,30a,N,,,,H,Y,0,N,D,N,N,Y,Y,0,Y,N,Y,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP28814,P,PERIPHERY,,Y,,,50a,Y,D,,,C,Y,0,Y,D,D,Y,Y,Y,1,N,N,,,,,,,,Y,N,N,Y,,Y,,,,,N,N,Y
HP28914,P,PERIPHERY,12/08/2014,N,,,,N,,,,H,Y,0,N,D,D,N,Y,,,N,Y,Y,Y,Y,Y,Y,,Y,,,N,Y,Y,Y,,Y,,,Y,,Y
HP29714,P,PERIPHERY,13/08/2014,Y,A,B,35a,N,,,,C,Y,0,N,D,I,N,N,N,,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,N,N,,,,,,,N,Y,Y
HP29814,P,PERIPHERY,,Y,A,,43a,N,,,,C,N,,N,N,N,N,N,N,,Y,Y,,,,,,,,N,,N,N,,,,,,,,,Y
HP29914,P,PERIPHERY,16/08/2014,Y,A,,150a,Y,D,,,C,Y,0,N,N,N,Y,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,Y,,Y,,,,,Y,Y,Y
HP30214,P,PERIPHERY,13/08/2014,Y,A,,50a,N,,,,C,Y,0,N,N,N,N,Y,Y,0,Y,Y,Y,N,,,,,N,Y,,N,N,,,,,,,N,,N
HP30414,P,PERIPHERY,13/08/2014,Y,A,,32a,Y,B,,,C,Y,0,N,I,I,N,N,N,,N,Y,Y,N,,Y,,,,N,,N,N,,,,,,,N,N,N
HP31414,P,PERIPHERY,13/08/2014,Y,A,,40ha,Y,B,,,C,Y,0,N,D,D,Y,Y,N,,Y,Y,Y,,,,,,,Y,,N,Y,,,,,,,N,N,Y
HP31614,P,PERIPHERY,14/08/2014,N,,,,N,,,,H,Y,2,N,D,D,N,Y,,,Y,Y,Y,Y,Y,Y,,,Y,,,N,N,,,,,,,,,Y
HP32114,P,PERIPHERY,,Y,A,,,Y,B,,,C,Y,0,N,D,D,Y,Y,N,,Y,N,N,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP32314 ,P,PERIPHERY,01/09/2014,N,,,,N,,,,,N,,,D,D,N,N,,,N,N,N,N,,,,,N,,,N,N,,,,,,,,,N
HP32414,P,PERIPHERY,,N,,,,N,,,,C,Y,0,N,N,N,N,N,,,N,Y,Y,Y,,,,,N,,,N,N,,,,,,,,,Y
HP32814,P,PERIPHERY,,N,,,,N,,,,N,Y,0,N,N,N,N,Y,,,N,N,N,N,,,,,N,,,N,N,,,,,,,N,,N
HP32914,P,PERIPHERY,,Y,A,,11.5ha,Y,B,,,C,Y,2,N,D,N,N,N,N,,Y,Y,Y,,,,Y,,N,Y,N,N,,,,,,,,,,
HP33514,P,PERIPHERY,,Y,,,440a,N,,,,H,,,N,D,D,N,N,N,,Y,Y,Y,Y,Y,,,,Y,,,N,Y,Y,Y,Y,Y,,,Y,,Y
HP33914,P,PERIPHERY,,Y,A,,,Y,D,,,C,Y,2,N,D,D,N,N,N,,Y,Y,Y,N,,,,,N,N,N,N,N,,,,,,,N,N,N
HP34014,P,PERIPHERY,22/08/2014,Y,A,,7a,N,,,,C,Y,0,N,D,D,N,N,N,,Y,Y,Y,N,,Y,,,Y,Y,N,N,N,,,,,,,N,N,Y
HP35114,P,PERIPHERY,,Y,A,,40a,Y,B,S,,C,Y,0,Y,D,D,N,N,N,,N,Y,Y,N,,Y,Y,,N,Y,N,N,N,,,,,,,N,Y,Y
HP35714,P,PERIPHERY,13/08/2014,Y,,,,N,,,,C,Y,0,Y,D,I,N,N,N,,Y,Y,Y,N,,,,,N,Y,,N,N,,,,,,,Y,Y,Y
HP36114,P,PERIPHERY,13/08/2014,N,,,,N,,,,H,Y,0,N,D,D,N,Y,,,Y,Y,Y,N,,,,,N,,,N,Y,,,,Y,,,N,,N
HP36314,P,PERIPHERY,12/08/2014,Y,A,,12a,N,,,,C,Y,0,N,D,D,Y,N,N,,Y,N,N,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP36714,P,PERIPHERY,,Y,A,,20a,N,,,,C,N,,N,D,D,N,N,Y,2,Y,Y,Y,Y,,Y,,,Y,Y,N,N,N,,,,,,,N,Y,Y
HP37314,P,PERIPHERY,23/08/2014,Y,A,,12ha,Y,B,,,H,Y,2,N,D,D,Y,Y,Y,2,Y,Y,Y,Y,,Y,,,N,Y,N,N,N,,,,,,,N,Y,Y
HP37614,P,PERIPHERY,,Y,A,,400a,Y,S,,,H,Y,0,N,D,D,N,N,N,,N,Y,,Y,,,,,,Y,Y,N,N,,,,,,,,,
HP37714,P,PERIPHERY,15/08/2014,N,,,,N,,,,N,Y,0,Y,N,N,N,N,,,Y,N,N,N,,,,,N,,,N,N,,,,,,,N,,N
HP38014,P,PERIPHERY,12/09/2014,Y,A,,26ha,Y,B,S,A,C,Y,0,N,D,I,N,N,N,,N,Y,Y,Y,Y,,,,N,Y,Y,N,N,,,,,,,N,Y,Y
HP38114,P,PERIPHERY,06/09/2014,Y,A,,16a,N,,,,C,Y,0,N,D,D,Y,N,N,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,Y,,Y,,,V,F,,Y,Y
HP38414,P,PERIPHERY,14/08/2014,Y,A,,180ha,Y,B,S,,C,Y,0,Y,D,I,N,N,N,,Y,Y,Y,N,,,,,Y,Y,N,N,,,,,,,,,,
HP38614,P,PERIPHERY,,Y,A,F,30ha,Y,B,,,H,Y,0,N,N,N,N,N,N,,Y,Y,Y,Y,Y,Y,Y,,Y,N,,N,,,,,,,,,,
HP38714,P,PERIPHERY,13/08/2014,Y,A,,22a,Y,M,,,C,Y,6,N,N,N,N,N,N,,Y,Y,N,Y,Y,Y,Y,,Y,Y,Y,N,N,,,,,,,N,N,Y
HP39014,P,PERIPHERY,15/08/2014,N,,,,N,,,,C,Y,0,N,D,N,Y,N,,,N,,Y,,,Y,Y,,N,,,N,N,,,,,,,Y,,Y
HP39814,P,PERIPHERY,,N,,,,N,,,,N,Y,2,N,N,N,N,N,,,N,N,Y,Y,,,Y,,Y,,,N,N,,,,,,,N,,Y
HP40214,P,PERIPHERY,19/08/2014,N,,,,N,,,,C,Y,0,N,N,N,N,Y,,,Y,N,Y,N,,,,,N,,,N,N,,,,,,,N,,N
HP40714,P,PERIPHERY,15/08/2014,Y,O,,20ha,Y,B,,,H,Y,6,Y,D,D,Y,Y,Y,0,Y,Y,,N,,,,,,,,,Y,,,,,,,Y,Y,Y
HP41314,P,PERIPHERY,,Y,,,,N,,,,,Y,0,N,D,D,Y,N,N,,Y,Y,Y,N,,Y,,,N,,,N,Y,,,,,F,,N,,N
HP41914,P,PERIPHERY,19/08/2014,N,,,,N,,,,H,Y,0,N,D,D,N,N,,,Y,Y,Y,N,,,,,N,,,N,N,,,,,,,N,,N
HP42214,P,PERIPHERY,,Y,A,,100a,Y,S,,,N,Y,1,N,N,N,N,N,N,,N,N,N,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP42314,P,PERIPHERY,13/08/2014,Y,A,,95a,Y,B,,,C,Y,6,N,D,D,N,N,N,,N,Y,Y,Y,Y,,,,N,N,,N,N,,,,,,,N,N,Y
HP43514,P,PERIPHERY,16/08/2014,Y,,,14a,Y,S,,,C,Y,0,Y,D,D,N,N,N,,Y,Y,Y,Y,Y,,,,Y,Y,Y,N,Y,,Y,,,,,N,N,N
HP43714,P,PERIPHERY,,Y,A,,40a,Y,M,,,C,Y,0,Y,I,I,Y,N,N,,N,Y,Y,Y,,,,,N,N,,N,N,,,,,,,N,N,N
HP43814,P,PERIPHERY,30/08/2014,Y,A,,200a,N,,,,H,Y,0,N,N,N,Y,Y,Y,0,N,Y,Y,N,,,,,N,Y,N,Y,Y,Y,,Y,,,,N,N,N
HP44014,P,PERIPHERY,30/08/2014,Y,,,,N,,,,,Y,0,N,D,D,N,N,N,,Y,Y,N,N,,,,,N,N,N,N,N,,,,,,,N,N,N
HP44714,P,PERIPHERY,14/08/2014,Y,A,,3a,N,,,,N,Y,,N,D,D,N,N,N,,N,Y,Y,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP44814,P,PERIPHERY,02/10/2014,Y,A,,,Y,B,A,,C,Y,0,N,D,I,N,Y,Y,0,N,N,Y,,,Y,,,N,Y,N,N,N,,,,,,,N,Y,Y
