Reference,Dataset,Zone,Date,Own/rent land,Purpose,Purpose,Size,Farmer,Focus,Focus,Focus,Conservation concern,Seen hares,When,Consider hares pests,Hare numbers (=<50),Hare numbers (>5),Aware of 2 sp in NI,Seen L. europaeus,Seen L. europaeus on own land,Most recent,Is threat of L. europaeus important,Support management of L. europaeus,Habitat management for L. t. hibernicus,Lethal culling,Shooting,Netting,Trapping,Other,Support management via petition,Landowner permission to survey,Allow cull on own land,Member of conservation org,Hunt,Game birds,Rabbits,Wildfowl,Fishing/Angling,Other,Other,Support cull with direct involvement,Allow cull on land,Support Gov't cull decision
HP45714,P,PERIPHERY,13/08/2014,N,,,,N,,,,C,Y,0,N,N,N,N,N,,,N,Y,Y,N,,,,,Y,,,N,N,,,,,,,N,,Y
HP45814,P,PERIPHERY,16/08/2014,Y,A,F,100a,N,,,,C,Y,2,N,D,D,N,N,N,,,,,,,,,,N,Y,Y,N,N,,,,,,,N,N,Y
HP46014,P,PERIPHERY,16/08/2014,Y,A,,19a,N,,,,C,Y,0,N,D,N,N,N,N,,N,Y,,Y,Y,,,,Y,Y,N,N,Y,,,,,F,,Y,,Y
HP46214,P,PERIPHERY,,Y,A,,44a,N,,,,C,Y,,Y,D,D,N,N,N,,N,N,Y,Y,Y,,,,N,Y,Y,N,N,,,,,,,N,Y,Y
HP46314,P,PERIPHERY,20/08/2014,Y,A,,30a,N,,,,C,N,,N,N,N,N,N,N,,Y,Y,,,,,,,,Y,,N,,,,,,,,,,
HP46614,P,PERIPHERY,30/08/2014,N,,,,N,,,,C,Y,2,N,D,N,N,N,,,N,N,N,N,,,,,N,,,N,N,,,,,,,N,,N
HP46914,P,PERIPHERY,14/08/2014,N,,,,N,,,,C,Y,1,N,D,D,N,N,,,Y,Y,Y,N,,,Y,,Y,,,N,N,,,,,,,N,,Y
HP47214,P,PERIPHERY,12/08/2014,Y,,,177a,Y,,,,H,Y,0,N,I,I,Y,Y,N,,N,Y,Y,N,,,,,N,Y,,N,N,,,,,,,,,
HP47514,P,PERIPHERY,21/08/2014,Y,A,,100a,Y,B,D,,C,Y,0,N,N,I,Y,Y,Y,0,Y,N,Y,Y,Y,,,,Y,N,,N,,,,,,,,,,
HP48214,P,PERIPHERY,27/08/2014,Y,,,,N,,,,C,Y,2,Y,D,D,N,N,N,,,,,N,,,,,N,N,N,N,N,,,,,,,N,N,
HP49114,P,PERIPHERY,20/08/2014,N,,,,N,,,,H,Y,0,N,I,I,Y,Y,,,Y,Y,,Y,,,,,,,,,N,,,,,,,N,,Y
HP49514,P,PERIPHERY,06/10/2014,N,,,,N,,,,C,Y,2,N,N,N,N,N,,,Y,Y,Y,Y,,Y,,,Y,,,N,N,,,,,,,N,,Y
HP50114,P,PERIPHERY,09/08/2014,N,,,,N,,,,C,Y,6,N,D,N,Y,Y,,,Y,Y,Y,N,,Y,,,Y,,,,N,Y,,,,Y,,N,N,Y
HP50814,P,PERIPHERY,12/08/2014,Y,A,,8a,N,,,,H,Y,1,N,D,D,N,N,N,,Y,Y,Y,N,,,,,N,Y,N,Y,N,,,,,,,N,N,N
HP51314,P,PERIPHERY,,Y,A,,10a,Y,,,,H,Y,6,N,D,D,Y,Y,Y,6,Y,N,,,,,,,N,N,,N,N,,,,,,,N,N,N
HP51414,P,PERIPHERY,15/08/2014,Y,A,,90a,Y,B,D,,C,Y,0,N,N,N,N,N,N,,Y,Y,Y,N,,Y,Y,,N,Y,,N,N,,,,,,,N,,Y
HP51714,P,PERIPHERY,14/08/2014,Y,A,,,N,,,,,Y,0,N,N,I,N,N,N,,Y,Y,Y,,,,,,Y,Y,,N,N,,,,,,,Y,,Y
HP51914,P,PERIPHERY,16/08/2014,Y,A,,,N,,,,C,Y,0,N,N,N,N,N,N,,Y,Y,Y,Y,Y,Y,Y,,N,N,,N,N,,,,,,,N,N,N
HP52214,P,PERIPHERY,14/08/2014,Y,A,,34ha,Y,B,S,,C,Y,2,N,D,D,Y,Y,N,,Y,Y,,Y,Y,,,,Y,Y,Y,N,N,,,,,,,Y,Y,Y
HP52514,P,PERIPHERY,01/09/2014,Y,,,,N,,,,C,Y,0,N,D,N,N,N,N,,Y,Y,Y,N,,,,,N,N,,N,N,,,,,,,,,N
HP55014,P,PERIPHERY,14/08/2014,Y,A,,20a,Y,A,,,H,Y,0,N,D,D,N,Y,Y,0,Y,N,N,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP55314,P,PERIPHERY,13/08/2014,N,,,,N,,,,H,Y,0,N,D,D,Y,N,,,N,N,Y,N,,,,,N,,,N,N,,,,,,,N,,N
HP55914,P,PERIPHERY,28/08/2014,Y,,,,N,,,,H,N,,N,N,N,N,N,N,,Y,Y,Y,N,,,,,N,,,N,N,,,,,,,,,
HP56114,P,WIDER NI,18/08/2014,Y,A,,,Y,M,,,H,Y,2,N,D,N,N,N,N,,Y,Y,Y,Y,Y,,,,N,Y,Y,N,N,,,,,,,N,Y,Y
HP56814,P,WIDER NI,29/08/2014,N,,,,N,,,,C,N,,N,D,D,N,N,,,Y,N,N,N,,,,,N,,,N,,,,,,,,,,
HP58414,P,WIDER NI,16/08/2014,Y,,,,N,,,,C,Y,0,N,D,I,N,N,N,,Y,Y,Y,,,,,,Y,,,N,N,,,,,,,N,,N
HP58514,P,WIDER NI,14/08/2014,Y,,,30a,N,,,,C,Y,0,Y,N,N,N,N,N,,Y,Y,Y,Y,Y,,,,Y,N,,N,N,,,,,,,Y,Y,Y
HP58814,P,WIDER NI,14/08/2014,Y,A,,3a,N,,,,C,Y,0,Y,N,N,N,N,N,,Y,Y,Y,Y,Y,,,,Y,Y,Y,N,N,,,,,,,N,Y,Y
HP58914,P,WIDER NI,24/08/2014,Y,A,,10a,N,,,,C,Y,6,N,N,N,Y,N,N,,Y,Y,Y,N,,,,,N,N,N,N,N,,,,,,,N,N,N
HP59414,P,WIDER NI,,N,,,,N,,,,C,Y,0,N,D,D,N,N,,,,,N,N,,,,,N,,,N,,,,,,,,,,
HP59814,P,WIDER NI,19/08/2014,Y,H,,3a,N,,,,C,Y,0,N,,N,N,N,N,,Y,Y,Y,Y,,,,,Y,Y,Y,N,N,,,,,,,N,N,Y
HP60014,P,WIDER NI,14/08/2014,N,,,,N,,,,C,N,,N,N,N,N,N,,,N,N,N,N,,,,,N,,,N,N,,,,,,,N,,N
HP60414,P,WIDER NI,13/08/2014,Y,A,,,N,,,,C,Y,1,N,D,N,Y,N,N,,Y,Y,,Y,Y,,,,Y,Y,Y,N,N,,,,,,,N,Y,Y
HP60514,P,WIDER NI,,Y,A,,,Y,B,S,,,Y,6,N,N,N,Y,N,Y,,N,N,N,N,,,,,N,N,,N,Y,,,,,Y,,N,N,Y
HP61314,P,WIDER NI,14/08/2014,Y,,,0.5a,N,,,,H,Y,6,Y,D,D,Y,N,N,,Y,Y,Y,N,,,,,Y,Y,N,N,N,,,,,,,N,N,N
HP61514,P,WIDER NI,22/08/2014,Y,A,,,Y,P,,,H,Y,0,N,I,I,N,N,N,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,Y,Y,Y,Y,Y,,,Y,,Y
HP62214,P,WIDER NI,09/08/2014,Y,A,,8ha,N,,,,H,Y,0,N,D,D,Y,N,N,,Y,Y,,Y,,Y,Y,,Y,Y,Y,N,Y,Y,Y,Y,Y,,,Y,Y,Y
HP62314,P,WIDER NI,13/08/2014,Y,A,,45a,Y,B,,,N,Y,0,N,D,D,Y,N,N,,Y,Y,Y,Y,,,Y,,,N,N,N,,,,,,,,,,
HP63314,P,WIDER NI,15/08/2014,Y,,,1.5a,Y,M,,,C,Y,0,N,D,D,N,N,Y,,N,Y,Y,Y,,,Y,,Y,N,Y,N,Y,,Y,,Y,,,Y,Y,Y
HP63414,P,WIDER NI,,N,,,,N,,,,C,Y,0,N,D,D,Y,N,,,Y,Y,Y,Y,,Y,Y,,Y,,,N,N,,,,,,,N,,Y
HP63514,P,WIDER NI,13/08/2014,Y,,,,N,,,,C,Y,0,Y,N,N,Y,Y,,,Y,,Y,,,,,,,,,N,N,,,,,,,,,N
HP64114,P,WIDER NI,15/08/2014,Y,A,,40ha,Y,B,D,S,,Y,1,N,D,D,Y,Y,Y,1,N,N,N,N,,,,,N,,,N,N,,,,,,,N,N,N
HP64314,P,WIDER NI,14/08/2014,Y,A,,70ha,Y,B,S,,H,Y,0,N,I,I,N,N,N,,,,,,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP64814,P,WIDER NI,14/08/2014,Y,A,,75a,Y,B,A,,N,Y,1,N,D,D,N,N,N,,N,Y,Y,Y,Y,,,,N,Y,Y,N,Y,,,,,,,Y,Y,Y
HP65114,P,WIDER NI,13/08/2014,Y,A,,110ha,Y,D,A,,C,Y,0,N,I,I,Y,N,N,,Y,Y,,Y,Y,,,,Y,Y,Y,N,N,,,,,,,N,Y,
HP65214,P,WIDER NI,16/08/2014,Y,,,8ha,N,,,,C,Y,,N,D,D,N,N,N,,Y,Y,Y,N,,Y,Y,,N,Y,Y,N,N,,,,,,,N,N,Y
HP65714,P,WIDER NI,,Y,,,,N,,,,C,N,,Y,N,N,Y,N,N,,Y,Y,,N,,,Y,,Y,Y,,N,Y,,,,,,,Y,Y,Y
HP65914,P,WIDER NI,13/08/2014,Y,,,60a,Y,B,,,N,Y,,Y,D,D,N,N,N,,N,Y,Y,N,,Y,,,N,Y,N,N,N,,,,,,,N,N,N
HP66314,P,WIDER NI,12/08/2014,Y,A,,100a,Y,D,,,C,Y,0,N,N,N,Y,N,N,,Y,Y,Y,N,,Y,,,N,N,,N,N,,,,,,,N,N,N
HP66914,P,WIDER NI,15/08/2014,N,,,,N,,,,C,Y,0,N,D,D,Y,N,,,Y,Y,Y,N,,Y,Y,,N,,,N,N,,,,,,,N,,N
HP67614,P,WIDER NI,05/09/2014,Y,,,5a,N,,,,C,Y,1,Y,D,N,N,N,N,,Y,N,Y,Y,,,,,N,Y,Y,N,N,,,,,,,N,Y,Y
HP68114,P,WIDER NI,22/08/2014,Y,A,,150a,Y,A,,,N,Y,0,N,D,D,Y,N,N,,Y,N,Y,,,,,,N,Y,Y,N,Y,,,,,Y,,N,Y,N
HP68514,P,WIDER NI,,N,,,,N,,,,C,N,,N,D,N,N,N,,,N,Y,Y,N,,,,,N,,,N,,,,,,,,,,
HP68714,P,WIDER NI,15/08/2014,N,,,,N,,,,C,N,,N,,,N,N,,,N,N,Y,Y,Y,Y,Y,,N,,,N,N,,,,,,,,,N
HP68914,P,WIDER NI,19/08/2014,N,,,,N,,,,C,Y,1,N,D,D,N,N,,,Y,Y,,Y,,,,,Y,,,N,N,,,,,,,,,Y
HP69714,P,WIDER NI,18/08/2014,N,,,,N,,,,,Y,0,N,N,N,N,N,,,Y,Y,Y,N,,,,,N,,,N ,N,,,,,,,N,,N
HP70914,P,WIDER NI,22/08/2014,Y,A,,200a,Y,D,,,N,N,,N,D,N,N,N,N,,Y,Y,Y,N,,,,,N,Y,Y,N,N,,,,,,,N,Y,Y
HP71514,P,WIDER NI,14/08/2014,N,,,,N,,,,C,Y,6,N,D,N,N,N,,,N,N,Y,N,,,,,N,,,N,,,,,,,,N,,N
HP71814,P,WIDER NI,13/08/2014,N,,,,N,,,,C,Y,1,N,D,D,N,N,,,Y,Y,,Y,Y,,,,Y,,,N,N,,,,,,,Y,,Y
HP72114,P,WIDER NI,13/08/2014,Y,,,,N,,,,C,Y,0,N,D,N,N,N,,,Y,Y,Y,Y,,Y,Y,,Y,,,N,N,,,,,,,,,Y
HP72414,P,WIDER NI,01/09/2014,Y,A,,110a,Y,B,,,H,Y,0,N,D,D,Y,N,N,,N,N,N,N,,,,,N,N,N,N,Y,Y,,,,,,N,N,N
HP72514,P,WIDER NI,15/08/2014,N,,,,N,,,,C,Y,0,N,N,N,N,N,,,Y,Y,Y,,,,,,N,,,N,,,,,,,,,,
HP73714,P,WIDER NI,,Y,,,,N,,,,C,Y,6,Y,D,D,N,N,N,,Y,Y,,Y,Y,,,,Y,Y,Y,N,,,,,,,,N,Y,Y
HP74014,P,WIDER NI,13/08/2014,N,,,,N,,,,H,Y,0,N,D,I,Y,N,,,Y,Y,,Y,Y,,,,Y,,,N,N,,,,,,,Y,,Y
HP74914,P,WIDER NI,15/08/2014,Y,,,0.5a,N,,,,H,Y,0,N,D,D,N,N,N,,Y,Y,Y,Y,Y,,,,Y,,,Y,N,,,,,,,N,,Y
HP75714,P,WIDER NI,29/08/2014,N,,,,N,,,,H,Y,2,N,D,D,N,N,,,Y,Y,Y,N,,,,,N,,,N,N,,,,,,,N,,N
HP76314,P,WIDER NI,12/08/2014,N,,,,N,,,,H,Y,6,N,D,D,N,N,,,Y,Y,,Y,Y,Y,Y,,Y,,,N,N,,,,,,,N,,Y
HP76414,P,WIDER NI,,N,,,,N,,,,N,Y,0,Y,I,I,N,N,,,N,Y,N,N,,,,,N,,,N,N,,,,,,,N,,N
HP76514,P,WIDER NI,,Y,A,,23a,N,,,,C,N,2,N,D,D,N,N,N,,Y,,Y,N,,,,,N,N,N,N,N,,,,,,,N,N,N
HP76614,P,WIDER NI,15/09/2014,Y,A,F,,Y,B,D,,H,Y,2,Y,D,N,N,N,N,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,N,,,,,,,Y,Y,Y
HP76814,P,WIDER NI,14/08/2014,Y,A,F,50a,N,,,,H,Y,6,N,D,N,N,N,N,,Y,Y,Y,Y,,Y,,,Y,Y,Y,N,N,,,,,,,N,Y,Y
HP76914,P,WIDER NI,14/08/2014,Y,,,,N,,,,C,Y,0,N,D,D,N,N,,,Y,Y,N,N,,,,,N,,N,N,N,,,,,,,N,N,N
HP77014,P,WIDER NI,,N,,,,N,,,,H,Y,0,Y,D,D,N,N,,,Y,Y,Y,,,,,,Y,,,N,,,,,,,,,,
HP77214,P,WIDER NI,13/08/2014,Y,A,,9a,N,,,,H,Y,6,N,N,N,Y,N,N,,Y,Y,Y,N,,,,,N,Y,,N,N,,,,,,,N,Y,Y
HP77314,P,WIDER NI,18/10/2014,Y,A,,420a,Y,B,S,,C,Y,0,N,D,I,Y,N,N,,N,Y,N,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP77814,P,WIDER NI,15/08/2014,Y,A,,7ha,Y,B,S,,C,Y,0,N,D,D,N,N,N,,N,N,Y,N,,,,,N,N,N,N,N,,,,,,,N,N,N
HP78514,P,WIDER NI,18/08/2014,Y,A,,82a,Y,B,S,,C,Y,1,N,D,D,N,N,N,,N,N,Y,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP78614,P,WIDER NI,12/08/2014,Y,A,,65a,N,,,,C,Y,1,N,D,D,N,N,N,,Y,Y,Y,Y,,Y,,,Y,Y,Y,N,Y,,Y,,,,,Y,Y,Y
HP78814,P,WIDER NI,14/08/2014,Y,,,0.5a,N,,,,C,Y,0,N,D,D,N,N,,,Y,Y,Y,N,,,,,N,N,N,N,N,,,,,,,N,N,N
HP79114,P,WIDER NI,18/08/2014,Y,A,,25ha,Y,S,,,,Y,0,N,N,I,N,N,N,,N,N,N,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP79314,P,WIDER NI,,Y,A,,4a,N,,,,N,Y,0,N,D,N,N,N,N,,N,Y,Y,N,,Y,,,N,Y,N,N,N,,,,,,,N,N,Y
HP80114,P,WIDER NI,13/08/2014,Y,A,,7a,N,,,,C,Y,6,N,D,I,N,N,N,,Y,Y,,Y,Y,,,,Y,Y,Y,N,N,,,,,,,Y,,Y
HP80214,P,WIDER NI,17/08/2014,Y,A,,21ha,N,,,,H,Y,2,N,D,N,N,N,N,,N,Y,Y,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP80414,P,WIDER NI,12/08/2014,Y,A,,80ha,Y,D,S,A,H,Y,0,N,D,I,N,N,N,,N,N,N,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP80814,P,WIDER NI,16/08/2014,Y,H,,7a,N,,,,,Y,0,N,N,I,N,N,N,,N,Y,Y,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP81114,P,WIDER NI,13/08/2014,Y,A,,28ha,Y,B,S,,H,Y,2,N,D,D,Y,N,N,,Y,Y,Y,N,,Y,Y,,Y,N,,N,N,,,,,,,N,N,Y
HP81914,P,WIDER NI,,N,,,,N,,,,C,Y,1,N,D,D,N,N,,,N,N,Y,N,,,,,N,,,N,N,,,,,,,N,,N
HP82114,P,WIDER NI,,N,,,,N,,,,C,Y,0,Y,I,I,Y,N,,,Y,N,N,Y,Y,,,,Y,,,N ,Y,Y,,Y,Y,,,Y,,Y
HP82314,P,WIDER NI,13/08/2014,Y,,,,N,,,,N,Y,,N,,,N,N,N,,N,,N,N,,,,,N,Y,Y,N,N,,,,,,,N,Y,Y
HP82714,P,WIDER NI,13/08/2014,N,,,,N,,,,C,N,,N,D,D,Y,N,,,Y,Y,,Y,Y,,,,Y,,,Y,N,,,,,,,,,Y
HP82814,P,WIDER NI,18/08/2014,N,,,,N,,,,C,N,,N,N,N,N,N,,,N,N,N,N,,,,,N,,,N,N,,,,,,,N,,N
HP83314,P,WIDER NI,24/08/2014,Y,A,,100ha,Y,B,S,M,H,Y,2,N,D,N,N,N,N,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,N,,,,,,,N,Y,Y
HP83714,P,WIDER NI,19/08/2014,Y,,,,N,,,,C,N,,N,N,N,N,N,,,Y,Y,Y,Y,,,,,Y,,,N,N,,,,,,,Y,,Y
HC00414,C,CORE,07/08/2014,N,,,,N,,,,N,Y,0,N,D,D,N,N,,,N,Y,,Y,Y,Y,Y,,Y,,,N,Y,Y,Y,Y,,,,Y,,Y
HC01214,C,CORE,01/09/2014,N,,,,N,,,,C,Y,0,N,D,N,Y,Y,,,Y,Y,Y,N,,Y,,,Y,,,N,Y,Y,Y,Y,Y,,,N,,N
HC01514,C,CORE,08/08/2014,N,,,,N,,,,C,Y,0,N,D,D,Y,N,,,Y,Y,,Y,Y,,,,Y,,,N,Y,,,,Y,,,,,Y
HC01714,C,CORE,,Y,A,,25a,N,,,,C,Y,0,N,D,D,N,N,Y,0,N,Y,Y,Y,Y,,,,N,Y,Y,N,Y,Y,,,,,,Y,,Y
HC01814,C,CORE,23/08/2014,N,,,,N,,,,C,Y,0,N,I,I,Y,N,,,Y,Y,Y,Y,Y,,,,Y,,,N,Y,Y,Y,,,D,V,Y,,Y
HC02414,C,CORE,08/08/2014,N,,,,N,,,,C,Y,0,N,I,I,Y,Y,,,N,N,Y,N,,,,,N,,,N,Y,Y,Y,Y,Y,,,N,,N
HC02614,C,CORE,22/08/2014,N,,,,N,,,,N,Y,0,N,I,I,N,Y,,,Y,Y,,Y,Y,,,,Y,,,N,Y,Y,Y,Y,Y,,,Y,,Y
HC02914,C,CORE,08/08/2014,N,,,,N,,,,N,Y,0,N,D,D,N,N,,,N,Y,,Y,Y,,,,Y,,,N,Y,Y,,Y,Y,,,Y,,Y
HC03714,C,CORE,11/08/2014,N,,,,N,,,,C,Y,0,N,D,D,Y,Y,,,Y,Y,,Y,,,Y,,Y,,,N,Y,Y,,Y,Y,,,Y,,Y
HC04314,C,CORE,,N,,,,N,,,,H,Y,1,N,D,D,Y,N,,,Y,Y,Y,N,,,Y,,Y,,,N,N,,,,,,,N,,Y
HC05414,C,CORE,08/08/2014,N,,,,N,,,,H,Y,0,N,N,N,N,Y,,,Y,Y,Y,Y,Y,,,,Y,,,N,Y,Y,Y,Y,Y,,,Y,,Y
HC05614,C,CORE,25/08/2014,N,,,,N,,,,N,Y,6,N,D,I,Y,Y,,,Y,Y,N,Y,Y,,,,Y,Y,Y,N,Y,Y,,Y,,,,Y,Y,Y
HC06314,C,CORE,,Y,A,,16a,Y,M,,,C,Y,0,N,D,D,N,N,N,,Y,Y,,Y,Y,,,,Y,Y,Y,N,Y,Y,Y,,,,,Y,Y,Y
HC07714,C,CORE,,N,,,,N,,,,H,Y,0,N,N,N,Y,Y,,,Y,N,Y,N,,,,,N,,,Y,Y,,,,,H,F,N,,N
HC08214,C,CORE,10/08/2014,Y,A,,20a,Y,B,,,H,Y,6,Y,D,D,Y,Y,Y,6,N,N,N,N,,,,,N,N,N,Y,Y,Y,,Y,,,,N,N,N
HC08914,C,CORE,10/08/2014,Y,A,,9ha,Y,B,,,C,Y,0,N,D,N,Y,N,N,,Y,Y,Y,Y,,Y,,,Y,Y,Y,N,Y,Y,Y,Y,,,,Y,Y,Y
HC09414,C,CORE,08/08/2014,Y,A,,24a,N,,,,C,Y,0,N,D,N,N,N,N,,N,Y,Y,N,,Y,,,Y,Y,Y,N,Y,Y,Y,Y,Y,,,Y,,Y
HC10714,C,CORE,08/08/2014,N,,,,N,,,,C,Y,0,N,I,I,Y,Y,,,N,Y,,Y,Y,,,,Y,,,N,Y,Y,Y,Y,Y,Y,,Y,,Y
HC11014,C,CORE,09/08/2014,N,,,,N,,,,H,Y,0,N,I,I,N,N,,,Y,Y,Y,Y,Y,Y,,,Y,,,N,Y,Y,Y,Y,Y,,,Y,,Y
HC11214,C,CORE,11/08/2014,N,,,,N,,,,H,Y,0,N,D,D,Y,N,,,Y,Y,Y,N,,,,,Y,N,,N,Y,Y,Y,Y,,,,Y,,Y
HC11414,C,CORE,10/08/2014,Y,A,,180a,Y,M,,,H,Y,0,Y,D,N,Y,Y,Y,6,Y,Y,,Y,Y,,,,Y,Y,Y,N,Y,Y,,,Y,,,Y,,Y
HC11814,C,CORE,14/08/2014,Y,F,,,N,,,,H,Y,0,N,N,N,N,N,N,,N,Y,Y,Y,,,,,Y,Y,Y,N,Y,Y,,Y,,,,Y,Y,Y
HC11914,C,CORE,07/08/2014,N,,,,N,,,,C,Y,6,N,D,D,N,N,,,Y,Y,Y,Y,Y,Y,,,Y,,,N,Y,Y,,,Y,,,Y,,Y
HC12014,C,CORE,,Y,A,,16a,N,,,,C,Y,6,Y,D,D,Y,N,N,,Y,Y,Y,N,,,,,N,Y,N,N,Y,,,,,,,N,N,N
