Reference,Dataset,Zone,Date,Own/rent land,Purpose,Purpose,Size,Farmer,Focus,Focus,Focus,Conservation concern,Seen hares,When,Consider hares pests,Hare numbers (=<50),Hare numbers (>5),Aware of 2 sp in NI,Seen L. europaeus,Seen L. europaeus on own land,Most recent,Is threat of L. europaeus important,Support management of L. europaeus,Habitat management for L. t. hibernicus,Lethal culling,Shooting,Netting,Trapping,Other,Support management via petition,Landowner permission to survey,Allow cull on own land,Member of conservation org,Hunt,Game birds,Rabbits,Wildfowl,Fishing/Angling,Other,Other,Support cull with direct involvement,Allow cull on land,Support Gov't cull decision
HC12114,C,CORE,,N,,,,N,,,,N,Y,0,N,D,D,N,N,,,N,N,Y,N,,,,,N,,,N,Y,Y,,,Y,,,N,,N
HC12314,C,CORE,,Y,,,,N,,,,H,Y,6,N,D,D,N,N,,,Y,Y,Y,Y,Y,Y,Y,,Y,,,N,N,,,,,,,Y,,Y
HC12514,C,CORE,,Y,F,,400a,N,,,,C,Y,6,N,D,D,N,N,N,,Y,Y,,Y,Y,Y,,,Y,Y,Y,N,Y,Y,,,Y,,,Y,Y,Y
HC13114,C,CORE,07/08/2014,Y,G,,1700a,N,,,,H,Y,0,N,D,D,Y,Y,Y,0,Y,N,Y,N,,,,,N,Y,N,N,Y,Y,Y,Y,Y,,,N,N,N
HC13214,C,CORE,,Y,A,,,Y,,,,N,Y,1,N,D,D,N,N,N,,N,N,N,N,,,,,N,N,N,N,N,,,,,,,N,N,N
HC13814,C,CORE,08/08/2014,Y,O,,,N,,,,N,Y,0,N,D,D,Y,Y,Y,2,N,N,N,N,,,,,N,N,N,Y,Y,,,,,,,N,N,N
HC14014,C,CORE,12/08/2014,N,,,,Y,D,,,H,Y,0,N,D,D,Y,Y,Y,0,Y,Y,N,N,,Y,,,N,,N,Y,Y,,,,,,,N,N,N
HC14114,C,CORE,08/08/2014,N,,,,N,,,,H,Y,0,N,D,D,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,,Y,,,N,Y,Y,Y,Y,Y,,,Y,,Y
HC14414,C,CORE,08/08/2014,Y,A,,10ha,N,,,,C,Y,0,N,D,D,N,N,N,,Y,Y,Y,,,,,,Y,Y,Y,N,N,,,,,,,Y,Y,Y
HC14814,C,CORE,,Y,A,,100a,Y,B,,,H,Y,0,N,D,D,Y,Y,Y,0,N,N,Y,N,,,,,N,Y,N,N,Y,,,,,Y,,N,N,N
HC16114,C,CORE,05/09/2014,N,,,,N,,,,H,Y,0,N,D,N,Y,Y,,,,Y,Y,Y,Y,Y,Y,,Y,,,N,Y,,Y,Y,,,,Y,,Y
HC16314,C,CORE,08/08/2014,N,,,,N,,,,C,Y,0,N,I,I,N,N,,,N,Y,Y,Y,Y,,,,Y,,,N,Y,Y,Y,Y,Y,,,Y,,Y
HC17114,C,CORE,09/07/2014,N,,,,N,,,,C,Y,0,N,D,D,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,Y,Y,Y,,,V,,N,,Y
HC17714,C,CORE,06/08/2014,Y,A,F,20ha,N,,,,H,Y,0,Y,I,I,Y,Y,N,,Y,Y,Y,Y,,,,D,Y,Y,Y,Y,Y,,,,,H,,Y,Y,Y
HC19714,C,CORE,25/08/2014,N,,,,N,,,,C,Y,0,N,D,D,Y,Y,,,,Y,,Y,,,Y,,Y,,,N,Y,Y,Y,Y,,,,Y,,Y
HC20014,C,CORE,,N,,,,N,,,,C,Y,0,N,D,D,,,,,,N,N,N,,,,,N,,,N,Y,Y,Y,,,,,N,N,N
HC20214,C,CORE,,Y,A,,5a,N,,,,C,Y,0,N,D,D,N,N,N,,Y,Y,,Y,Y,,,,Y,Y,Y,N,Y,Y,Y,Y,Y,,,Y,Y,Y
HC20914,C,CORE,08/08/2014,N,,,,N,,,,C,Y,0,N,D,D,Y,Y,Y,0,Y,N,Y,N,,Y,,,N,Y,N,N,Y,Y,,,,,,N,N,N
HC21014,C,CORE,09/08/2014,N,,,,N,,,,C,Y,0,N,N,N,N,N,,,Y,Y,,Y,Y,Y,,,Y,,,N,Y,Y,Y,Y,Y,F,D,Y,,Y
HC21514,C,CORE,,Y,A,,150a,Y,S,,,H,Y,0,N,I,I,N,N,N,,Y,Y,,Y,Y,,Y,,Y,Y,Y,N,Y,Y,Y,Y,Y,,,N,Y,Y
HC21814,C,CORE,20/08/2014,Y,A,G,55a,N,,,,H,Y,0,N,N,N,Y,Y,Y,,Y,Y,Y,N,,Y,,,Y,Y,N,N,Y,Y,Y,Y,,Y,,N,N,Y
HC22614,C,CORE,08/08/2014,Y,A,,60ha,Y,D,,,C,Y,0,N,D,D,Y,Y,Y,0,N,N,N,N,,,,,N,N,N,N,,,,,,,,N,N,N
HC23714,C,CORE,09/08/2014,N,,,,N,,,,C,Y,0,N,D,D,N,N,,,Y,Y,Y,Y,,Y,,,Y,,,N,Y,Y,Y,Y,,,,Y,,Y
HC24114,C,CORE,,Y,A,,40ha,Y,S,,,H,Y,0,N,N,N,N,N,N,,Y,Y,Y,Y,Y,,,,Y,Y,Y,N,Y,Y,Y,,,,,Y,Y,Y
HC24514,C,CORE,,N,,,,N,,,,C,Y,0,N,N,N,Y,N,,,N,Y,,Y,Y,Y,Y,,Y,,,N,Y,Y,Y,Y,,,,Y,,Y
HC25014,C,CORE,16/10/2014,Y,A,,,Y,D,,,H,Y,0,N,D,D,N,N,N,,Y,Y,Y,N,,,,,N,Y,N,N,Y,Y,,Y,Y,,,N,N,N
HC25314,C,CORE,09/08/2014,Y,A,,80a,Y,B,,,H,Y,0,N,N,N,Y,Y,N,,Y,Y,Y,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HC25914,C,CORE,10/08/2014,Y,A,,5a,N,,,,H,Y,0,N,N,N,Y,Y,Y,0,,Y,Y,N,,Y,,,N,Y,N,Y,Y,,,,,H,F,N,N,N
HC26114,C,CORE,16/08/2014,N,,,,N,,,,H,Y,0,N,D,I,N,Y,,,Y,Y,Y,N,,,,,N,,,N,Y,,Y,Y,Y,V,,Y,,Y
HC26214,C,CORE,14/09/2014,N,,,,N,,,,C,Y,0,N,D,D,N,N,,,Y,Y,N,N,,,,,N,,,Y,Y,,,,,,,N,,N
HC27214,C,CORE,07/08/2014,Y,A,,10a,Y,B,,,H,Y,0,N,D,D,Y,Y,N,,Y,N,Y,N,,,,,N,,N,N,Y,Y,,Y,,,,N,N,N
HC27414,C,CORE,07/08/2014,N,,,,N,,,,C,Y,0,N,D,D,Y,Y,,,N,Y,,Y,,,Y,,Y,,,N,Y,Y,,Y,Y,,,Y,,Y
HC28114,C,PERIPHERY,17/08/2014,Y,F,,42ha,N,,,,C,Y,0,N,I,I,Y,Y,N,,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,N,Y,Y,Y,Y,Y,,,Y,Y,Y
HC30514,C,PERIPHERY,,Y,F,,8a,N,,,,N,Y,6,N,I,I,N,N,N,,N,N,N,N,,Y,,,N,Y,N,N,N,,,,,,,N,N,N
HC31514,C,PERIPHERY,11/08/2014,Y,F,,2.3a,N,,,,H,Y,0,N,I,I,N,N,N,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,N,N,Y,Y,,Y,,,,Y,N,Y
HC33314,C,PERIPHERY,,Y,A,,100a,Y,M,,,H,Y,0,N,D,D,Y,Y,N,,N,N,Y,N,,Y,,,N,N,,N,Y,,,,,Y,,N,N,N
HC33614,C,PERIPHERY,15/08/2014,Y,A,,110a,Y,D,S,,H,Y,0,N,N,N,Y,Y,N,,N,Y,Y,N,,Y,,,N,Y,N,Y,Y,Y,Y,,,F,,N,N,N
HC33714,C,PERIPHERY,13/08/2014,N,,,,N,,,,H,Y,0,N,D,D,Y,Y,,,Y,Y,Y,N,,Y,,,N,,,N,Y,,Y,,,F,,N,,N
HC33814,C,PERIPHERY,,Y,F,,8ha,N,,,,N,Y,0,N,I,I,N,N,N,,Y,Y,N,N,,,,,N,Y,N,N,,,,,,,,N,N,N
HC34114,C,PERIPHERY,19/08/2014,N,,,,N,,,,N,Y,0,N,D,N,Y,N,,,N,N,Y,N,,,,,N,,,N,,,,,,,,N,,N
HC34414,C,PERIPHERY,11/08/2014,Y,,,100a,N,,,,H,Y,0,N,D,D,Y,Y,Y,0,N,Y,Y,Y,,Y,,,N,Y,Y,N,Y,Y,,Y,Y,,,N,Y,N
HC35114,C,PERIPHERY,01/10/2014,N,,,,N,,,,H,Y,0,N,D,I,Y,Y,,,Y,Y,,Y,Y,Y,Y,,Y,,,N,Y,,Y,,Y,V,,Y,,Y
HC36314,C,PERIPHERY,13/08/2014,N,,,,N,,,,C,Y,0,N,N,N,N,Y,,,Y,Y,,Y,Y,,,,Y,,,N,Y,Y,Y,Y,,,,Y,,Y
HC36814,C,PERIPHERY,,Y,O,,200a,Y,B,A,,N,Y,0,N,D,D,N,N,N,,N,Y,Y,Y,Y,,,,Y,Y,Y,N,Y,Y,Y,Y,Y,,,Y,Y,Y
HC36914,C,PERIPHERY,12/08/2014,N,,,,N,,,,H,Y,0,N,D,D,Y,Y,,,Y,Y,Y,Y,Y,,,,N,,,N,Y,Y,Y,Y,Y,,,N,,N
HC37014,C,PERIPHERY,10/08/2014,Y,A,,75ha,Y,M,,,H,Y,0,Y,D,N,Y,Y,Y,1,Y,Y,N,Y,Y,,,,Y,Y,Y,N,Y,,Y,,,,,Y,Y,Y
HC37114,C,PERIPHERY,,N,,,,N,,,,H,Y,0,N,N,N,Y,N,,,Y,Y,Y,Y,Y,Y,,,Y,,,N,Y,Y,Y,Y,Y,,,Y,,Y
HC37614,C,PERIPHERY,,N,,,,N,,,,N,Y,0,N,N,N,Y,N,,,N,Y,,Y,Y,Y,Y,,N,,,N,Y,Y,,Y,Y,,,N,,N
HC37814,C,PERIPHERY,13/08/2014,Y,A,,14a,N,,,,C,Y,0,N,N,N,Y,N,N,,N,N,N,N,,,,,N,Y,N,Y,Y,Y,Y,Y,Y,,,N,N,N
HC38014,C,PERIPHERY,12/08/2014,Y,A,,20a,Y,B,,,H,Y,0,N,D,D,Y,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,Y,Y,Y,,Y,C,,Y,Y,Y
HC38314,C,PERIPHERY,,Y,,,,N,,,,C,Y,0,N,N,N,Y,Y,N,,Y,Y,Y,N,,Y,Y,,N,N,N,N,Y,Y,Y,,,V,,N,N,N
HC38514,C,PERIPHERY,,N,,,,N,,,,,Y,0,N,N,N,Y,N,,,N,Y,,Y,Y,Y,Y,,N ,,,N,Y,Y,,Y,Y,,,N,,N
HC38814,C,PERIPHERY,13/08/2014,N,,,,N,,,,H,Y,0,N,D,D,Y,Y,,,Y,Y,,Y,Y,Y,Y,,Y,,,N,Y,Y,Y,Y,Y,Y,,Y,,Y
HC39214,C,PERIPHERY,11/08/2014,N,,,,N,,,,C,Y,0,N,N,N,Y,Y,,,Y,Y,Y,N,,Y,Y,,N,,,N,Y,Y,Y,Y,,V,,N,,N
HC39314,C,PERIPHERY,17/08/2014,N,,,,N,,,,H,Y,,N,D,D,Y,Y,,,Y,Y,Y,N,,,,,N,,,N,Y,Y,,,,V,,N,,N
HC39514,C,PERIPHERY,,N,,,,N,,,,N,Y,0,N,N,N,Y,N,,,N,Y,,Y,Y,Y,Y,,N,,,N,Y,Y,,Y,Y,,,N,,
HC39714,C,PERIPHERY,11/08/2014,Y,,,,N,,,,C,Y,0,Y,D,D,Y,Y,N,,Y,Y,,Y,Y,,,,Y,,,N,Y,Y,Y,Y,Y,,,Y,,Y
HC40414,C,PERIPHERY,,Y,A,,40a,Y,B,,,,Y,0,N,D,D,Y,Y,Y,0,Y,Y,Y,Y,,,,,Y,Y,Y,N,Y,,,,,,,,Y,Y
HC40714,C,PERIPHERY,11/08/2014,Y,A,,24a,Y,B,S,,C,Y,0,Y,I,I,Y,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,N,Y,Y,Y,Y,Y,V,,Y,Y,Y
HC40914,C,PERIPHERY,,N,,,,N,,,,N,Y,0,N,N,N,Y,N,,,N,Y,,Y,Y,Y,Y,,N,,,N,Y,Y,,,,,,N,,Y
HC41214,C,PERIPHERY,30/08/2014,N,,,,N,,,,N,Y,0,N,D,D,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,,Y,,,N,Y,Y,Y,Y,Y,,,N,,Y
HC42814,C,PERIPHERY,19/09/2014,N,,,,N,,,,,Y,0,N,D,D,N,N,,,Y,Y,Y,Y,Y,Y,Y,,Y,,,N,Y,Y,Y,Y,,,,Y,,Y
HC43614,C,PERIPHERY,11/08/2014,N,,,,N,,,,C,Y,0,N,D,D,Y,Y,,,N,Y,Y,Y,Y,,,,Y,,,N,Y,Y,Y,,,,,Y,,Y
HC44014,C,PERIPHERY,11/08/2014,Y,,,,N,,,,C,Y,,N,I,I,N,N,N,,N,Y,N,N,,,,,N,N,N,N,Y,,,,,,,N,N,N
HC44914,C,PERIPHERY,12/08/2014,N,,,,N,,,,N,Y,0,N,I,I,N,Y,,,Y,N,N,Y,,Y,,,Y,,,Y,Y,Y,Y,Y,,,,N,,Y
HC47714,C,PERIPHERY,11/08/2014,Y,A,,22a,Y,B,S,,H,Y,0,N,D,N,Y,Y,N,,Y,Y,Y,Y,,Y,,,N,Y,N,N,Y,Y,Y,Y,Y,Y,,N,N,N
HC47814,C,PERIPHERY,10/10/2014,Y,A,,,Y,B,S,,N,Y,0,Y,I,N,N,N,N,,N,Y,Y,Y,Y,,Y,,N,Y,Y,N,Y,,Y,,,,,Y,N,Y
HC48114,C,PERIPHERY,19/09/2014,N,,,,N,,,,C,Y,2,N,D,D,N,N,,,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,N,,,,,,,N,,Y
HC49314,C,PERIPHERY,10/08/2014,Y,A,,8ha,N,,,,C,Y,0,N,D,N,Y,Y,N,,N,Y,Y,Y,,Y,,,Y,Y,N,N,Y,,,,Y,V,,N,Y,Y
HC50414,C,PERIPHERY,12/08/2014,N,,,,N,,,,C,Y,6,N,D,D,N,N,,,N,N,N,N,,,,,N,,,N,Y,,,,,Y,,N,,N
HC52114,C,PERIPHERY,12/08/2014,Y,G,,"2,500a",N,,,,C,Y,0,N,D,I,Y,Y,Y,0,Y,Y,Y,Y,,Y,Y,,Y,Y,N,N,Y,Y,Y,Y,,,,N,N,Y
HC52614,C,PERIPHERY,,N,,,,N,,,,C,Y,0,N,D,D,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,,Y,,,N,Y,Y,Y,Y,Y,,,Y,,Y
HC52714,C,PERIPHERY,11/08/2014,N,,,,N,,,,N,Y,0,N,D,D,N,N,,,N,Y,Y,Y,Y,,,,N,,,N,Y,Y,,Y,,,,N,,Y
HC53414,C,PERIPHERY,11/08/2014,N,,,,N,,,,N,Y,0,N,I,I,Y,Y,,,Y,Y,,Y,Y,,,,Y,,,N,Y,Y,Y,Y,Y,D,F,Y,,Y
HC54714,C,PERIPHERY,12/08/2014,N,,,,N,,,,H,Y,0,N,D,I,Y,Y,,,Y,Y,Y,Y,Y,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,,Y,,Y
HC56114,C,WIDER NI,11/08/2014,N,,,,N,,,,N,Y,6,Y,D,D,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,,Y,,,N,Y,Y,Y,Y,Y,,,Y,,Y
HC56414,C,WIDER NI,19/08/2014,Y,,,20a,N,,,,H,Y,0,N,I,I,Y,N,,,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,Y,Y,Y,,,Y,Y,Y
HC57814,C,WIDER NI,,N,,,,N,,,,C,Y,0,N,D,D,Y,N,,,Y,Y,Y,Y,Y,,,,N,,,N,Y,Y,Y,Y,,,,Y,,Y
HC58114,C,WIDER NI,11/08/2014,N,,,,N,,,,C,Y,6,N,D,D,N,Y,,,Y,Y,Y,N,,,,,N,,,N,Y,,,,Y,,,N,,N
HC59314,C,WIDER NI,18/08/2014,Y,,,20a,N,,,,H,Y,0,N,D,D,Y,Y,N,,N,Y,Y,N,,,,,N,Y,N,N,Y,Y,Y,Y,Y,,,N,N,N
HC59414,C,WIDER NI,28/08/2014,N,,,,N,,,,C,Y,0,N,D,D,N,N,,,Y,Y,Y,Y,Y,Y,Y,,Y,,,,Y,Y,Y,Y,Y,V,,Y,,Y
HC61614,C,WIDER NI,11/08/2014,Y,A,S,30ha,Y,B,,,H,Y,0,N,D,N,Y,Y,N,,N,N,N,N,,,,,N,Y,N,N,Y,,,,,H,F,N,N,N
HC62014,C,WIDER NI,18/08/2014,N,,,,N,,,,,Y,0,Y,D,D,Y,N,,,N,N,N,N,,,,,N,N,N,N,Y,Y,Y,Y,Y,,,N,,N
HC62914,C,WIDER NI,14/08/2014,Y,A,,26.94a,N,,,,H,Y,0,N,D,D,Y,Y,N,,Y,Y,Y,Y,,Y,,,Y,Y,N,N,Y,Y,,Y,Y,,,Y,Y,Y
HC63114,C,WIDER NI,,Y,A,,12a,N,,,,,Y,0,N,I,I,N,N,N,,Y,Y,N,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HC63314,C,WIDER NI,17/08/2014,N,,,,N,,,,H,Y,0,N,D,D,N,N,,,Y,Y,Y,Y,Y,Y,,,Y,,,N,Y,Y,Y,Y,Y,,,Y,,Y
HC63914,C,WIDER NI,,Y,,,,N,,,,H,Y,0,N,D,D,Y,Y,Y,0,N,Y,,Y,,Y,,,Y,Y,Y,N,Y,Y,,,,F,,Y,Y,Y
HC65614,C,WIDER NI,11/08/2014,Y,G,,300a,N,,,,H,Y,0,N,D,I,Y,N,N,,Y,Y,Y,Y,,Y,,,N,N,N,N,Y,Y,Y,Y,,,,N,N,N
HC66114,C,WIDER NI,,Y,A,,150ha,Y,B,S,,H,Y,6,N,D,D,N,N,N,,Y,Y,,Y,Y,,,,Y,Y,Y,N,Y,Y,Y,Y,Y,,,Y,Y,Y
HC67714,C,WIDER NI,10/08/2014,Y,A,,40a,Y,B,,,C,Y,0,N,I,N,Y,N,N,,Y,Y,Y,Y,,Y,,,Y,Y,Y,N,Y,,,,,H,F,Y,Y,Y
HC67914,C,WIDER NI,14/08/2014,Y,A,,,Y,B,,,C,Y,0,Y,I,N,Y,Y,N,,Y,Y,Y,Y,Y,,,,Y,Y,Y,N,Y,,,,,H,,Y,Y,Y
HC69314,C,WIDER NI,11/08/2014,N,,,,N,,,,H,Y,1,N,D,D,N,N,,,Y,Y,,Y,Y,,,,Y,,,Y,Y,Y,Y,,,,,N,,Y
HC69514,C,WIDER NI,12/08/2014,N,,,,N,,,,H,Y,0,N,D,D,N,N,,,Y,Y,,Y,Y,Y,Y,,Y,,Y,N,Y,Y,Y,Y,,,,Y,,Y
HC70114,C,WIDER NI,28/08/2014,N,,,,N,,,,N,Y,0,N,D,D,Y,Y,,,Y,Y,,Y,Y,,,,Y,Y,Y,N,Y,Y,Y,Y,Y,D,,Y,,Y
HC71714,C,WIDER NI,16/08/2014,Y,,,,N,,,,C,Y,0,N,I,I,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,,Y,,,N,Y,Y,Y,Y,,,,Y,,Y
HC72914,C,WIDER NI,24/08/2014,N,,,,N,,,,H,Y,6,N,D,D,N,N,,,N,N,Y,N,,,,,,,,N,Y,Y,,Y,Y,,,N,,N
HC73514,C,WIDER NI,11/08/2014,N,,,,N,,,,C,Y,6,N,D,D,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,,N,,,N,Y,Y,Y,Y,Y,,,N,,N
HC73914,C,WIDER NI,,Y,A,,,Y,B,,,H,Y,0,N,N,N,N,Y,Y,0,N,Y,Y,Y,,Y,Y,,Y,Y,Y,N,Y,Y,,,,,,Y,N,Y
HC74414,C,WIDER NI,12/08/2014,N,,,,N,,,,C,Y,,N,I,N,N,Y,,,N,Y,,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,,,Y,Y,Y
HC74814,C,WIDER NI,11/08/2014,Y,A,,69a,Y,S,,,C,Y,1,N,D,D,Y,Y,N,,N,N,Y,N,,,,,N,N,N,N,Y,Y,,Y,Y,,,N,N,N
HC75314,C,WIDER NI,11/08/2014,Y,G,,200ha,N,,,,H,Y,0,N,I,I,Y,Y,Y,0,Y,N,N,N,,,,,N,Y,N,N,Y,Y,Y,Y,,P,,N,N,N
HC75714,C,WIDER NI,,Y,,,,Y,,,,N,Y,0,Y,,N,Y,Y,,,N,N,,Y,,Y,,,N,Y,Y,Y,Y,Y,,Y,Y,,,N,N,N
HC76014,C,WIDER NI,10/08/2014,Y,G,,,N,,,,C,Y,0,Y,I,I,Y,N,N,,N,Y,,Y,Y,,,,Y,N,Y,N,Y,Y,Y,Y,,,,Y,Y,Y
HC76414,C,WIDER NI,14/08/2014,Y,P,,11a,N,,,,H,Y,0,N,D,D,N,N,N,,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,N,Y,,,,Y,,,Y,Y,Y
HC78514,C,WIDER NI,,Y,A,,4a,Y,S,,,C,Y,0,N,D,D,N,N,N,,Y,Y,Y,Y,Y,,,,Y,Y,Y,N,N,,,,,,,N,Y,Y
HC78614,C,WIDER NI,08/08/2014,Y,A,,65a,N,,,,C,Y,0,N,D,D,N,N,N,,N,Y,,Y,Y,,,,Y,Y,Y,N,N,,,,,,,N,N,Y
HC78814,C,WIDER NI,11/08/2014,Y,A,,85a,Y,B,S,,,Y,0,N,I,I,Y,Y,Y,0,,Y,Y,Y,Y,,,,Y,Y,Y,N,Y,,,,,D,F,Y,Y,Y
HC79314,C,WIDER NI,15/08/2014,Y,A,F,270a,Y,S,A,M,C,Y,0,N,D,D,Y,N,N,,N,N,N,N,,,,,N,Y,N,N,Y,Y,Y,Y,,,,N,N,N
HC79614,C,WIDER NI,11/08/2014,N,,,,N,,,,C,Y,0,N,D,D,Y,N,,,N,Y,,Y,Y,Y,Y,,Y,,,N,Y,Y,,,Y,,,N,,Y
HC79614,C,WIDER NI,11/08/2014,N,,,,N,,,,C,Y,0,N,D,D,Y,N,,,N,Y,,Y,Y,Y,Y,,Y,,,N,Y,Y,,,Y,,,N,,Y
HC80314,C,WIDER NI,14/08/2014,Y,H,,8a,N,,,,H,Y,6,N,D,D,N,Y,N,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,Y,Y,,,Y,V,,N,Y,Y
HC81314,C,WIDER NI,,Y,A,,,Y,S,,,C,Y,0,N,N,I,Y,Y,Y,0,Y,Y,Y,Y,Y,,,,Y,Y,Y,N,Y,Y,Y,,,,,Y,Y,Y
HC81714,C,WIDER NI,11/08/2014,Y,G,,90a,N,,,,N,Y,0,N,N,D,N,N,N,,Y,Y,,Y,Y,,,,Y,Y,Y,N,Y,Y,,Y,Y,,,Y,Y,Y
HC81914,C,WIDER NI,29/09/2014,N,,,,N,,,,H,Y,0,N,D,D,N,N,,,Y,Y,,Y,Y,,,,Y,,,Y,Y,,Y,,,,,Y,,Y
HC83314,C,WIDER NI,25/09/2014,Y,,,,N,,,,N,N,,N,N,N,N,N,N,,N,N,N,N,,,,,N,N,N,N,N,,,,,,,Y,Y,Y
